Zone,Milieu,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Part des ménages sédentaires vivant dans une maison sommaire ou dans un bidonville (%),2.9
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),2.3
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),2.3
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Nombre moyen de personnes par pièce d'habitation,1.7
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Nombre moyen de personnes par pièce d'habitation,1.7
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Part des ménages sédentaires vivant dans un appartement (%),1.3
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Part des ménages sédentaires vivant dans un appartement (%),1.3
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Part des ménages sédentaires disposant d'une fosse septique (%),0.6
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Part des ménages sédentaires disposant d'une fosse septique (%),0.6
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Part des ménages sédentaires vivant dans une villa ou un étage de villa (%),0.2
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Part des ménages sédentaires vivant dans un logement rural (%),0.2
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Part des ménages sédentaires vivant dans une villa ou un étage de villa (%),0.2
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Part des ménages sédentaires vivant dans un logement rural (%),0.2
