Zone,Milieu,Sexe,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Population municipale,
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Population municipale,
Oriental -> Jerada -> Ain Bni Mathar,Rural,Féminin,Population municipale,
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Ensemble,Population municipale,15487.0
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Ensemble,Population municipale,15487.0
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Féminin,Population municipale,8093.0
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Féminin,Population municipale,8093.0
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Masculin,Population municipale,7394.0
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Masculin,Population municipale,7394.0
