Zone,Milieu,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Ain Bni Mathar,Rural,Nombre de ménages,
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Nombre de ménages,3605.0
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Nombre de ménages,3605.0
