Zone,Milieu,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Lebkhata,Urbain,Nombre de ménages,
Oriental -> Jerada -> Lebkhata,Ensemble,Nombre de ménages,592.0
Oriental -> Jerada -> Lebkhata,Rural,Nombre de ménages,592.0
