Zone,Milieu,Sexe,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Lebkhata,Urbain,Masculin,Population municipale,
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Population municipale,
Oriental -> Jerada -> Lebkhata,Urbain,Féminin,Population municipale,
Oriental -> Jerada -> Lebkhata,Ensemble,Ensemble,Population municipale,2541.0
Oriental -> Jerada -> Lebkhata,Rural,Ensemble,Population municipale,2541.0
Oriental -> Jerada -> Lebkhata,Rural,Féminin,Population municipale,1292.0
Oriental -> Jerada -> Lebkhata,Ensemble,Féminin,Population municipale,1292.0
Oriental -> Jerada -> Lebkhata,Rural,Masculin,Population municipale,1249.0
Oriental -> Jerada -> Lebkhata,Ensemble,Masculin,Population municipale,1249.0
