Zone,Milieu,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Bni Mathar,Urbain,Nombre de ménages,
Oriental -> Jerada -> Bni Mathar,Ensemble,Nombre de ménages,2223.0
Oriental -> Jerada -> Bni Mathar,Rural,Nombre de ménages,2223.0
