Zone,Milieu,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada,Ensemble,Nombre de ménages,23833.0
Oriental -> Jerada,Urbain,Nombre de ménages,15363.0
Oriental -> Jerada,Rural,Nombre de ménages,8470.0
