Zone,Milieu,Sexe,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada,Ensemble,Ensemble,Population municipale,101559.0
Oriental -> Jerada,Urbain,Ensemble,Population municipale,62588.0
Oriental -> Jerada,Ensemble,Féminin,Population municipale,51987.0
Oriental -> Jerada,Ensemble,Masculin,Population municipale,49572.0
Oriental -> Jerada,Rural,Ensemble,Population municipale,38971.0
Oriental -> Jerada,Urbain,Féminin,Population municipale,32569.0
Oriental -> Jerada,Urbain,Masculin,Population municipale,30019.0
Oriental -> Jerada,Rural,Masculin,Population municipale,19553.0
Oriental -> Jerada,Rural,Féminin,Population municipale,19418.0
