Zone,Milieu,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Nombre de ménages,
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Nombre de ménages,254.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Nombre de ménages,254.0
