Zone,Milieu,Sexe,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Population municipale,
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Population municipale,
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Population municipale,
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Ensemble,Population municipale,1274.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Ensemble,Population municipale,1274.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Masculin,Population municipale,673.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Masculin,Population municipale,673.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Féminin,Population municipale,601.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Féminin,Population municipale,601.0
