Zone,Milieu,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Taille moyenne des ménages,5.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Taille moyenne des ménages,5.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Nombre moyen de personnes par pièce d'habitation,2.6
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Nombre moyen de personnes par pièce d'habitation,2.6
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),2.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Part des ménages sédentaires disposant de l'eau courante (%),2.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),2.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Part des ménages sédentaires disposant de l'eau courante (%),2.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Part des ménages sédentaires vivant dans un appartement (%),0.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Part des ménages sédentaires vivant dans une maison sommaire ou dans un bidonville (%),0.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Part des ménages sédentaires vivant dans une villa ou un étage de villa (%),0.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Part des ménages sédentaires vivant dans une villa ou un étage de villa (%),0.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Part des ménages sédentaires vivant dans une maison sommaire ou dans un bidonville (%),0.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Part des ménages sédentaires vivant dans un appartement (%),0.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Part des ménages sédentaires raccordés au réseau public d'assainissement (%),0.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Part des ménages sédentaires raccordés au réseau public d'assainissement (%),0.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Part des ménages sédentaires locataires (%),0.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Part des ménages sédentaires locataires (%),0.0
