Zone,Milieu,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Jerada,Rural,Nombre de ménages,
Oriental -> Jerada -> Jerada,Ensemble,Nombre de ménages,10141.0
Oriental -> Jerada -> Jerada,Urbain,Nombre de ménages,10141.0
