Zone,Milieu,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Mrija,Urbain,Nombre de ménages,
Oriental -> Jerada -> Mrija,Ensemble,Nombre de ménages,563.0
Oriental -> Jerada -> Mrija,Rural,Nombre de ménages,563.0
