Zone,Milieu,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Guenfouda,Ensemble,Nombre moyen de personnes par pièce d'habitation,1.9
Oriental -> Jerada -> Guenfouda,Rural,Nombre moyen de personnes par pièce d'habitation,1.9
Oriental -> Jerada -> Guenfouda,Rural,Part des ménages sédentaires vivant dans une villa ou un étage de villa (%),1.0
Oriental -> Jerada -> Guenfouda,Ensemble,Part des ménages sédentaires vivant dans une villa ou un étage de villa (%),1.0
Oriental -> Jerada -> Guenfouda,Rural,Part des ménages sédentaires vivant dans une maison sommaire ou dans un bidonville (%),0.6
Oriental -> Jerada -> Guenfouda,Ensemble,Part des ménages sédentaires vivant dans une maison sommaire ou dans un bidonville (%),0.6
Oriental -> Jerada -> Guenfouda,Rural,Distance moyenne des logements à la route goudronnée (Km),0.3
Oriental -> Jerada -> Guenfouda,Ensemble,Distance moyenne des logements à la route goudronnée (Km),0.3
Oriental -> Jerada -> Guenfouda,Rural,Part des ménages sédentaires vivant dans un appartement (%),0.1
Oriental -> Jerada -> Guenfouda,Ensemble,Part des ménages sédentaires vivant dans un appartement (%),0.1
