Zone,Milieu,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Guenfouda,Urbain,Nombre de ménages,
Oriental -> Jerada -> Guenfouda,Ensemble,Nombre de ménages,1359.0
Oriental -> Jerada -> Guenfouda,Rural,Nombre de ménages,1359.0
