Zone,Milieu,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Tiouli,Ensemble,Nombre de ménages,975.0
Oriental -> Jerada -> Tiouli,Rural,Nombre de ménages,625.0
Oriental -> Jerada -> Tiouli,Urbain,Nombre de ménages,350.0
