Zone,Milieu,Sexe,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Tiouli,Ensemble,Ensemble,Population municipale,4302.0
Oriental -> Jerada -> Tiouli,Rural,Ensemble,Population municipale,2895.0
Oriental -> Jerada -> Tiouli,Ensemble,Masculin,Population municipale,2229.0
Oriental -> Jerada -> Tiouli,Ensemble,Féminin,Population municipale,2073.0
Oriental -> Jerada -> Tiouli,Rural,Masculin,Population municipale,1524.0
Oriental -> Jerada -> Tiouli,Urbain,Ensemble,Population municipale,1407.0
Oriental -> Jerada -> Tiouli,Rural,Féminin,Population municipale,1371.0
Oriental -> Jerada -> Tiouli,Urbain,Masculin,Population municipale,705.0
Oriental -> Jerada -> Tiouli,Urbain,Féminin,Population municipale,702.0
