Zone,Milieu,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Laaouinate,Urbain,Nombre de ménages,
Oriental -> Jerada -> Laaouinate,Ensemble,Nombre de ménages,930.0
Oriental -> Jerada -> Laaouinate,Rural,Nombre de ménages,930.0
