Zone,Milieu,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Gafait,Urbain,Nombre de ménages,
Oriental -> Jerada -> Gafait,Ensemble,Nombre de ménages,621.0
Oriental -> Jerada -> Gafait,Rural,Nombre de ménages,621.0
