Zone,Milieu,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Ras Asfour,Urbain,Nombre de ménages,
Oriental -> Jerada -> Ras Asfour,Ensemble,Nombre de ménages,312.0
Oriental -> Jerada -> Ras Asfour,Rural,Nombre de ménages,312.0
