Zone,Milieu,Sexe,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Population municipale,
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Population municipale,
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Population municipale,
Oriental -> Jerada -> Ras Asfour,Ensemble,Ensemble,Population municipale,1275.0
Oriental -> Jerada -> Ras Asfour,Rural,Ensemble,Population municipale,1275.0
Oriental -> Jerada -> Ras Asfour,Rural,Masculin,Population municipale,656.0
Oriental -> Jerada -> Ras Asfour,Ensemble,Masculin,Population municipale,656.0
Oriental -> Jerada -> Ras Asfour,Rural,Féminin,Population municipale,619.0
Oriental -> Jerada -> Ras Asfour,Ensemble,Féminin,Population municipale,619.0
