Zone,Milieu,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ras Asfour,Rural,Distance moyenne des logements à la route goudronnée (Km),1.0
Oriental -> Jerada -> Ras Asfour,Ensemble,Part des ménages sédentaires vivant dans une villa ou un étage de villa (%),0.3
Oriental -> Jerada -> Ras Asfour,Rural,Part des ménages sédentaires vivant dans une villa ou un étage de villa (%),0.3
Oriental -> Jerada -> Ras Asfour,Ensemble,Part des ménages sédentaires vivant dans un appartement (%),0.0
Oriental -> Jerada -> Ras Asfour,Ensemble,Part des ménages sédentaires raccordés au réseau public d'assainissement (%),0.0
Oriental -> Jerada -> Ras Asfour,Ensemble,Part des ménages sédentaires locataires (%),0.0
Oriental -> Jerada -> Ras Asfour,Rural,Part des ménages sédentaires vivant dans un appartement (%),0.0
Oriental -> Jerada -> Ras Asfour,Rural,Part des ménages sédentaires vivant dans une maison sommaire ou dans un bidonville (%),0.0
Oriental -> Jerada -> Ras Asfour,Rural,Part des ménages sédentaires locataires (%),0.0
Oriental -> Jerada -> Ras Asfour,Ensemble,Part des ménages sédentaires vivant dans une maison sommaire ou dans un bidonville (%),0.0
Oriental -> Jerada -> Ras Asfour,Rural,Part des ménages sédentaires raccordés au réseau public d'assainissement (%),0.0
