Zone,Milieu,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Touissit,Rural,Nombre de ménages,
Oriental -> Jerada -> Touissit,Ensemble,Nombre de ménages,808.0
Oriental -> Jerada -> Touissit,Urbain,Nombre de ménages,808.0
