Zone,Milieu,Sexe,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Touissit,Rural,Ensemble,Population municipale,
Oriental -> Jerada -> Touissit,Rural,Masculin,Population municipale,
Oriental -> Jerada -> Touissit,Rural,Féminin,Population municipale,
Oriental -> Jerada -> Touissit,Ensemble,Ensemble,Population municipale,3065.0
Oriental -> Jerada -> Touissit,Urbain,Ensemble,Population municipale,3065.0
Oriental -> Jerada -> Touissit,Ensemble,Féminin,Population municipale,1562.0
Oriental -> Jerada -> Touissit,Urbain,Féminin,Population municipale,1562.0
Oriental -> Jerada -> Touissit,Urbain,Masculin,Population municipale,1503.0
Oriental -> Jerada -> Touissit,Ensemble,Masculin,Population municipale,1503.0
