Zone,Milieu,Titre de l'indicateur,Valeurs de l'indicateur
Oriental -> Jerada -> Sidi Boubker,Ensemble,Nombre de ménages,594.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Nombre de ménages,459.0
Oriental -> Jerada -> Sidi Boubker,Rural,Nombre de ménages,135.0
